epoch;loss;mse;val_loss;val_mse
23;230.51937866210938;230.51937866210938;805.6691284179688;805.6691284179688
24;230.42575073242188;230.42575073242188;802.66796875;802.66796875
25;230.36854553222656;230.36854553222656;801.17822265625;801.17822265625
26;230.30645751953125;230.30645751953125;797.2877197265625;797.2877197265625
27;230.25791931152344;230.25791931152344;796.4346923828125;796.4346923828125
28;230.19992065429688;230.19992065429688;792.7546997070312;792.7546997070312
29;230.25802612304688;230.25802612304688;791.9952392578125;791.9952392578125
30;230.21157836914062;230.21157836914062;789.2756958007812;789.2756958007812
31;230.16555786132812;230.16555786132812;789.1670532226562;789.1670532226562
32;230.13778686523438;230.13778686523438;787.5142211914062;787.5142211914062
33;230.1319122314453;230.1319122314453;784.8407592773438;784.8407592773438
34;230.15150451660156;230.15150451660156;784.0667724609375;784.0667724609375
35;230.17495727539062;230.17495727539062;783.200927734375;783.200927734375
36;230.11026000976562;230.11026000976562;782.6244506835938;782.6244506835938
37;230.05892944335938;230.05892944335938;782.7382202148438;782.7382202148438
38;230.075927734375;230.075927734375;780.9402465820312;780.9402465820312
39;230.07640075683594;230.07640075683594;780.5223999023438;780.5223999023438
40;230.10972595214844;230.10972595214844;780.06640625;780.06640625
41;230.1384735107422;230.1384735107422;779.2952270507812;779.2952270507812
42;230.12371826171875;230.12371826171875;779.5979614257812;779.5979614257812
43;230.0853729248047;230.0853729248047;779.4484252929688;779.4484252929688
44;230.08111572265625;230.08111572265625;779.352294921875;779.352294921875
45;230.05555725097656;230.05555725097656;778.9612426757812;778.9612426757812
46;230.08287048339844;230.08287048339844;778.1813354492188;778.1813354492188
47;230.06912231445312;230.06912231445312;777.2078247070312;777.2078247070312
48;230.05760192871094;230.05760192871094;776.6576538085938;776.6576538085938
49;230.08067321777344;230.08067321777344;776.826171875;776.826171875
50;230.08595275878906;230.08595275878906;777.3895263671875;777.3895263671875
51;230.09996032714844;230.09996032714844;776.3688354492188;776.3688354492188
52;230.04322814941406;230.04322814941406;776.138427734375;776.138427734375
53;230.0624237060547;230.0624237060547;777.0186767578125;777.0186767578125
54;230.06568908691406;230.06568908691406;775.49169921875;775.49169921875
55;230.03834533691406;230.03834533691406;775.9014282226562;775.9014282226562
56;230.0748291015625;230.0748291015625;775.7079467773438;775.7079467773438
57;230.082275390625;230.082275390625;775.1718139648438;775.1718139648438
58;230.1144561767578;230.1144561767578;775.2160034179688;775.2160034179688
59;230.1320343017578;230.1320343017578;775.9625244140625;775.9625244140625
60;230.06614685058594;230.06614685058594;775.6520385742188;775.6520385742188
61;230.11062622070312;230.11062622070312;776.0779418945312;776.0779418945312
62;230.09259033203125;230.09259033203125;775.2315063476562;775.2315063476562
63;230.04409790039062;230.04409790039062;774.4676513671875;774.4676513671875
64;230.05760192871094;230.05760192871094;774.3356323242188;774.3356323242188
65;230.1061248779297;230.1061248779297;774.0536499023438;774.0536499023438
66;230.0845489501953;230.0845489501953;776.3499755859375;776.3499755859375
67;230.07308959960938;230.07308959960938;774.7915649414062;774.7915649414062
68;230.0738983154297;230.0738983154297;774.3880615234375;774.3880615234375
69;230.04251098632812;230.04251098632812;774.5482788085938;774.5482788085938
70;230.06690979003906;230.06690979003906;775.843505859375;775.843505859375
71;230.08631896972656;230.08631896972656;774.636962890625;774.636962890625
72;230.08050537109375;230.08050537109375;774.81396484375;774.81396484375
73;230.06944274902344;230.06944274902344;773.4288330078125;773.4288330078125
74;230.08099365234375;230.08099365234375;773.7815551757812;773.7815551757812
75;230.04776000976562;230.04776000976562;774.075439453125;774.075439453125
76;230.08651733398438;230.08651733398438;774.7162475585938;774.7162475585938
77;230.09764099121094;230.09764099121094;774.5987548828125;774.5987548828125
78;230.05885314941406;230.05885314941406;774.3847045898438;774.3847045898438
79;230.09423828125;230.09423828125;774.25;774.25
80;230.1164093017578;230.1164093017578;774.29638671875;774.29638671875
81;230.06729125976562;230.06729125976562;775.4456787109375;775.4456787109375
82;230.0936737060547;230.0936737060547;774.5733642578125;774.5733642578125
83;230.08155822753906;230.08155822753906;774.8643798828125;774.8643798828125
84;230.0888214111328;230.0888214111328;774.501220703125;774.501220703125
