date,bitcoin,cryptocurrency,blockchain+bitcoin
2018-11-11,10.0,1.0,12.0
2018-11-18,13.0,1.0,15.0
2018-11-25,14.0,1.0,15.0
2018-12-02,11.0,1.0,13.0
2018-12-09,11.0,1.0,12.0
2018-12-16,11.0,1.0,12.0
2018-12-23,10.0,1.0,11.0
2018-12-30,9.0,1.0,10.0
2019-01-06,9.0,1.0,10.0
2019-01-13,8.0,1.0,9.0
2019-01-20,7.0,1.0,8.0
2019-01-27,7.0,1.0,9.0
2019-02-03,8.0,1.0,9.0
2019-02-10,7.0,1.0,8.0
2019-02-17,8.0,1.0,9.0
2019-02-24,8.0,1.0,9.0
2019-03-03,7.0,1.0,8.0
2019-03-10,7.0,1.0,8.0
2019-03-17,7.0,1.0,9.0
2019-03-24,7.0,1.0,8.0
2019-03-31,12.0,1.0,13.0
2019-04-07,10.0,1.0,11.0
2019-04-14,8.0,1.0,10.0
2019-04-21,9.0,1.0,11.0
2019-04-28,9.0,1.0,10.0
2019-05-05,12.0,1.0,13.0
2019-05-12,19.0,1.0,20.0
2019-05-19,13.0,1.0,15.0
2019-05-26,14.0,1.0,15.0
2019-06-02,12.0,1.0,13.0
2019-06-09,11.0,1.0,12.0
2019-06-16,16.0,2.0,18.0
2019-06-23,25.0,1.0,26.0
2019-06-30,17.0,1.0,18.0
2019-07-07,15.0,1.0,17.0
2019-07-14,16.0,1.0,17.0
2019-07-21,12.0,1.0,14.0
2019-07-28,12.0,1.0,13.0
2019-08-04,14.0,1.0,15.0
2019-08-11,13.0,1.0,14.0
2019-08-18,11.0,1.0,12.0
2019-08-25,11.0,1.0,12.0
2019-09-01,10.0,1.0,12.0
2019-09-08,9.0,1.0,10.0
2019-09-15,9.0,1.0,10.0
2019-09-22,12.0,1.0,13.0
2019-09-29,10.0,1.0,11.0
2019-10-06,9.0,1.0,10.0
2019-10-13,8.0,1.0,9.0
2019-10-20,10.0,1.0,12.0
2019-10-27,11.0,1.0,12.0
2019-11-03,9.0,1.0,10.0
2019-11-10,9.0,1.0,10.0
2019-11-17,9.0,1.0,10.0
2019-11-24,10.0,1.0,11.0
2019-12-01,8.0,1.0,9.0
2019-12-08,8.0,1.0,9.0
2019-12-15,9.0,1.0,10.0
2019-12-22,8.0,1.0,9.0
2019-12-29,8.0,1.0,9.0
2020-01-05,10.0,1.0,12.0
2020-01-12,11.0,1.0,12.0
2020-01-19,9.0,1.0,11.0
2020-01-26,10.0,1.0,11.0
2020-02-02,11.0,1.0,11.0
2020-02-09,12.0,1.0,13.0
2020-02-16,11.0,1.0,12.0
2020-02-23,11.0,1.0,12.0
2020-03-01,10.0,1.0,11.0
2020-03-08,18.0,1.0,20.0
2020-03-15,19.0,1.0,20.0
2020-03-22,14.0,1.0,15.0
2020-03-29,13.0,1.0,13.0
2020-04-05,13.0,1.0,14.0
2020-04-12,12.0,1.0,13.0
2020-04-19,12.0,1.0,13.0
2020-04-26,15.0,1.0,17.0
2020-05-03,17.0,1.0,18.0
2020-05-10,21.0,1.0,21.0
2020-05-17,14.0,1.0,15.0
2020-05-24,12.0,1.0,13.0
2020-05-31,12.0,1.0,13.0
2020-06-07,11.0,1.0,12.0
2020-06-14,10.0,1.0,11.0
2020-06-21,10.0,1.0,11.0
2020-06-28,10.0,1.0,11.0
2020-07-05,9.0,1.0,11.0
2020-07-12,11.0,1.0,12.0
2020-07-19,10.0,1.0,11.0
2020-07-26,16.0,1.0,17.0
2020-08-02,14.0,1.0,16.0
2020-08-09,13.0,1.0,14.0
2020-08-16,12.0,1.0,14.0
2020-08-23,11.0,1.0,12.0
2020-08-30,11.0,1.0,12.0
2020-09-06,11.0,1.0,12.0
2020-09-13,10.0,1.0,10.0
2020-09-20,9.0,1.0,10.0
2020-09-27,8.0,1.0,9.0
2020-10-04,8.0,1.0,9.0
2020-10-11,9.0,1.0,10.0
2020-10-18,12.0,1.0,13.0
2020-10-25,13.0,1.0,14.0
2020-11-01,15.0,1.0,15.0
2020-11-08,15.0,1.0,17.0
2020-11-15,21.0,1.0,23.0
2020-11-22,24.0,1.0,25.0
2020-11-29,20.0,1.0,21.0
2020-12-06,16.0,1.0,17.0
2020-12-13,26.0,1.0,27.0
2020-12-20,27.0,1.0,28.0
2020-12-27,41.0,2.0,41.0
2021-01-03,66.0,3.0,69.0
2021-01-10,61.0,3.0,64.0
2021-01-17,42.0,2.0,42.0
2021-01-24,38.0,3.0,41.0
2021-01-31,34.0,4.0,36.0
2021-02-07,57.0,5.0,60.0
2021-02-14,54.0,4.0,57.0
2021-02-21,61.0,4.0,65.0
2021-02-28,40.0,2.0,42.0
2021-03-07,42.0,3.0,43.0
2021-03-14,39.0,3.0,42.0
2021-03-21,36.0,3.0,37.0
2021-03-28,34.0,3.0,37.0
2021-04-04,31.0,3.0,33.0
2021-04-11,40.0,6.0,42.0
2021-04-18,51.0,6.0,53.0
2021-04-25,38.0,4.0,40.0
2021-05-02,33.0,8.0,36.0
2021-05-09,45.0,9.0,48.0
2021-05-16,76.0,9.0,76.0
2021-05-23,55.0,6.0,57.0
2021-05-30,39.0,4.0,41.0
2021-06-06,40.0,4.0,43.0
2021-06-13,31.0,3.0,32.0
2021-06-20,38.0,3.0,41.0
2021-06-27,28.0,3.0,29.0
2021-07-04,22.0,2.0,24.0
2021-07-11,22.0,2.0,24.0
2021-07-18,26.0,2.0,27.0
2021-07-25,30.0,2.0,31.0
2021-08-01,25.0,2.0,26.0
2021-08-08,29.0,2.0,30.0
